numero_cause,CAUSE.C.,CAUSETXT.C.40,V3,Code_proba,ICD_equivalent_code,ICD10_Category,Cat,Group
32,B_NCD_OU,Other and unspecified NCD,98 Other and unspecified NCD,ob_ncd_ou,D55-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06G09; GG10-G37; G50-G99; H00-H95; J30-J39; J47-J99; K00-K31; K35-K38; K40-K93; L00-L99; M00-M99; N00N16; N20-N99; R00-R09; R11-R94,,Other non-communicable diseases,Non-communicable diseases
33,B_CONGEN,Congenital malformation,10.06 Congenital malformation,ob_congen,Q00-Q99,"XVII. Congenital malformations, deformations and chromosomal abnormalities",Neonatal CoD,"Infectious, parastitic, neonatal and maternal causes"
34,B_P_SML,Prematurity,10.01 Prematurity,ob_p_sml,P05-P07,XVI. Certain conditions originating in the perintal period,Neonatal CoD,"Infectious, parastitic, neonatal and maternal causes"
35,B_P_ASPH,Birth asphyxia,10.02 Birth asphyxia,ob_p_asph,P20-P22,XVI. Certain conditions originating in the perintal period,Neonatal CoD,"Infectious, parastitic, neonatal and maternal causes"
36,B_P_PNEU,Neonatal pneumonia,10.03 Neonatal pneumonia,ob_p_pneu,P23-P25,XVI. Certain conditions originating in the perintal period,Neonatal CoD,"Infectious, parastitic, neonatal and maternal causes"
37,B_P_SEPS,Neonatal sepsis,10.04 Neonatal sepsis,ob_p_seps,P36,XVI. Certain conditions originating in the perintal period,Neonatal CoD,"Infectious, parastitic, neonatal and maternal causes"
38,B_P_OU,Other and unspecified neonatal CoD,10.99 Other and unspecified neonatal CoD,ob_p_ou,P00-P04; P08-P15; P26-P35; P37-P94; P96,XVI. Certain conditions originating in the perintal period,Neonatal CoD,"Infectious, parastitic, neonatal and maternal causes"
39,B_STB_F,Fresh stillbirth,11.01 Fresh stillbirth,ob_stb_f,P95,XVI. Certain conditions originating in the perintal period,Neonatal CoD,"Infectious, parastitic, neonatal and maternal causes"
40,B_STB_M,Macerated stillbirth,11.02 Macerated stillbirth,ob_stb_m,P95,XVI. Certain conditions originating in the perintal period,Neonatal CoD,"Infectious, parastitic, neonatal and maternal causes"
41,B_ACC_TRF,Road traffic accident,12.01 Road traffic accident,ob_acc_trf,V01-V89,XX. External causes of morbidity and mortality,External CoD,Injuries and violent deaths
42,B_ACC_TRO,Other transport accident,12.02 Other transport accident,ob_acc_tro,V90-V99,XX. External causes of morbidity and mortality,External CoD,Injuries and violent deaths
43,B_FALL,Accid fall,12.03 Accid fall,ob_fall,W00-W19,XX. External causes of morbidity and mortality,External CoD,Injuries and violent deaths
44,B_DROWN,Accid drowning and submersion,12.04 Accid drowning and submersion,ob_drown,W65-W74,XX. External causes of morbidity and mortality,External CoD,Injuries and violent deaths
45,B_FIRE,Accid expos to smoke fire & flame,12.05 Accid expos to smoke fire & flame,ob_fire,X00-X19,XX. External causes of morbidity and mortality,External CoD,Injuries and violent deaths
46,B_VENOM,Contact with venomous plant/animal,12.06 Contact with venomous plant/animal,ob_venom,X20-X29,XX. External causes of morbidity and mortality,External CoD,Injuries and violent deaths
47,B_FORCE,Exposure to force of nature,12.10 Exposure to force of nature,ob_force,X30-X39,XX. External causes of morbidity and mortality,External CoD,Injuries and violent deaths
48,B_POIS,Accid poisoning & noxious subs,12.07 Accid poisoning & noxious subs,ob_pois,X40-X49,XX. External causes of morbidity and mortality,External CoD,Injuries and violent deaths
49,B_SUIC,Intentional self-harm,12.08 Intentional self-harm,ob_suic,X60-X84,XX. External causes of morbidity and mortality,External CoD,Injuries and violent deaths
50,B_ASSAULT,Assault,12.09 Assault,ob_assault,X85-Y09,XX. External causes of morbidity and mortality,External CoD,Injuries and violent deaths
51,B_EXT_OU,Other and unspecified external CoD,12.99 Other and unspecified external CoD,ob_ext_ou,S00-T99; W20-W64; W75-W99; X50-X59; Y10-Y98,XX. External causes of morbidity and mortality,External CoD,Injuries and violent deaths
52,B_ECTOP,Ectopic pregnancy,09.01 Ectopic pregnancy,ob_ectop,O00,"XV. Pregnancy, childbirth and the puerperium",Maternal CoD,"Infectious, parastitic, neonatal and maternal causes"
53,B_ABORT,Abortion-related death,09.02 Abortion-related death,ob_abort,O03-O08,"XV. Pregnancy, childbirth and the puerperium",Maternal CoD,"Infectious, parastitic, neonatal and maternal causes"
54,B_PIH,Pregnancy-induced hypertension,09.03 Pregnancy-induced hypertension,ob_pih,O10-O16,"XV. Pregnancy, childbirth and the puerperium",Maternal CoD,"Infectious, parastitic, neonatal and maternal causes"
55,B_HAEM,Obstetric haemorrhage,09.04 Obstetric haemorrhage,ob_haem,O46;O67;O72,"XV. Pregnancy, childbirth and the puerperium",Maternal CoD,"Infectious, parastitic, neonatal and maternal causes"
56,B_OBS_LB,Obstructed labour,09.05 Obstructed labour,ob_obs_lb,O63-O66,"XV. Pregnancy, childbirth and the puerperium",Maternal CoD,"Infectious, parastitic, neonatal and maternal causes"
57,B_O_SEPS,Pregnancy-related sepsis,09.06 Pregnancy-related sepsis,ob_o_seps,"O85; O75,3","XV. Pregnancy, childbirth and the puerperium",Maternal CoD,"Infectious, parastitic, neonatal and maternal causes"
58,B_PANAEM,Anaemia of pregnancy,09.07 Anaemia of pregnancy,ob_panaem,O99.0,"XV. Pregnancy, childbirth and the puerperium",Maternal CoD,"Infectious, parastitic, neonatal and maternal causes"
59,B_UT_RUP,Ruptured uterus,09.08 Ruptured uterus,ob_ut_rup,O71,"XV. Pregnancy, childbirth and the puerperium",Maternal CoD,"Infectious, parastitic, neonatal and maternal causes"
60,B_MAT_OU,Other and unspecified maternal CoD,09.99 Other and unspecified maternal CoD,ob_mat_ou,O01-O02; O20-O45; O47-O62; O68-O70; O73-O84; O86-O99,"XV. Pregnancy, childbirth and the puerperium",Maternal CoD,"Infectious, parastitic, neonatal and maternal causes"
,,Indeterminate,99 Indeterminate,61,R95-R99,,Indeterminate,Indeterminate
